"Sukunimi","Yhteensä"
"Asp",679
"Turkia",678
"Hautanen",677
"Saarimaa",677
"Lundell",673
"Nylander",673
"Lajunen",671
"Sihvo",671
"Smolander",671
"Borg",670
"Falck",670
"Jeskanen",670
"Hagström",669
"Joki",669
"Lehtiniemi",669
"Elonen",668
"Gröndahl",668
"Harinen",668
"Paakkunainen",668
"Santanen",667
"Puro",666
"Weckman",665
"Martiskainen",664
"Juola",663
"Skog",663
"Kuha",661
"Tirronen",661
"Hartikka",660
"Mannonen",660
"Posti",660
"Nurkkala",659
"Pelttari",659
"Tonteri",659
"Töyrylä",659
"Pesu",658
"Kolu",657
"Sandelin",657
"Sjölund",657
"Väre",657
"Häyrynen",656
"Björn",655
"Karonen",655
"Mustajärvi",655
"Tyrväinen",655
"Mankinen",654
"Nygren",654
"Tuuri",654
"Keinonen",653
"Koli",653
"Paukkunen",653
"Uski",653
"Pylvänäinen",652
"Tiensuu",652
"Suutarinen",651
"Viitaniemi",651
"Mikkilä",650
"Taponen",650
"Alastalo",648
"Muurinen",648
"Alén",647
"Hoikkala",647
"Sääskilahti",647
"Roiha",646
"Uotinen",646
"Suihkonen",645
"Leppäniemi",644
"Kattelus",643
"Tuokko",643
"Koivusalo",641
"Virtala",641
"Ritola",639
"Mansikkamäki",638
"Raitio",638
"Tommila",638
"Uusimäki",638
"Vitikainen",638
"Vuolle",638
"Harjunpää",637
"Summanen",637
"Kiiveri",636
"Rönnberg",636
"Suoranta",635
"Heinola",634
"Hannuksela",633
"Huhtinen",633
"Hirvi",632
